uid	iids
0	35,26
1	87
2	205
3	208,139
5	381,377
6	150
7	445
8	31
9	630
10	755
11	632
13	812,105
14	494
16	241,944
17	225
18	166,734
19	215,612
21	308,1110
23	404,574
24	804
25	163
26	127,685
27	1203
29	1361,1362
33	818,92
34	1378
35	1405,1001
36	398
37	492
38	232,1026
40	39,293
41	741,697
42	232,104
43	696,449
44	1323
46	396,362
48	104
50	1445
51	749
52	240
53	1148
54	40,170
55	509
56	147,1036
59	1763
62	582,710
63	104
64	58,663
65	42
66	43,83
67	352
68	923,437
69	51,232
71	19,156
72	972
74	891,887
79	123
80	174,45
81	412
83	104
85	824,86
86	79
87	1212
89	291
90	399,153
93	1399,682
94	86
95	261,708
96	690,121
97	166,239
98	1205
100	740,1800
101	742
103	469,95
104	1001,203
106	1507
108	688,46
110	848,489
111	1795
112	1765,1874
113	455,159
114	1724
116	1021
118	825
119	1345
120	9,506
122	344,1660
123	1945,491
124	492
125	763,164
126	207
127	113,574
128	126
129	367
133	49,1846
134	14,16
136	1005
137	917,237
138	1238,1944
139	127,686
140	1888,1328
141	499,887
142	28
143	911,853
145	971,1143
147	550
148	1078,991
149	602,1254
150	1164
151	752,305
152	1688
153	16
154	633,1760
155	6,1332
156	58,1021
157	462,685
158	51
160	2006
161	191
163	4,519
164	813
165	1163,1331
167	508
168	1891
169	10,685
170	241,902
172	1814,49
173	731
175	1536
176	613,27
177	706,1432
180	456,481
182	1483
183	708
184	561
185	295,877
186	1531
188	1036,501
190	748
191	833,1361
192	1364
193	1859
195	96
196	1932,104
197	1077,790
198	1060
199	4
200	1892
203	753,395
204	413,241
205	681,207
207	308
210	1724
212	771,1391
214	41,170
216	839,509
218	39
219	239,917
220	257
221	224
222	371
224	277
225	980,53
226	846,643
227	1155
228	1751
229	361,1996
232	274,1293
233	459,1772
234	354,96
235	687
236	205
237	1145
238	251,430
240	145
243	68,734
245	708
246	727
247	508
248	1860,284
249	501
250	519
251	496
253	1038,519
254	1031
255	731
256	496,320
257	139,727
258	785,519
262	166
264	415,690
265	183
266	1032,1036
268	304
269	785
270	237
271	357,864
273	207,558
274	198
275	395
276	188,113
277	1553
279	1201,521
280	1053,16
282	258,49
283	216
284	1078,1033
286	474
287	63,1358
288	91,1348
290	753,725
291	2021,104
292	474
294	870,52
295	1718
296	474,69
298	520,215
299	80
300	1017
301	1488
302	385
305	1,27
306	16,151
308	206,174
310	45
311	455
312	69
313	1146,35
314	631
316	399,97
317	295,1865
319	1237
320	1991,127
321	85,170
322	1586
323	45,614
324	70
325	509
329	1021
331	946,902
333	818,295
334	1103,1783
335	357
336	1322,97
337	635,492
338	1391
339	381,258
340	207
342	381
344	957,274
345	1287,461
346	602,50
347	160
349	412
350	1388
352	69
353	232,1026
354	385,326
355	832,1805
357	153
358	336
359	1439,6
360	1762,1155
362	87,264
363	991
364	128,39
366	1771,153
367	1682,946
369	508
370	169,721
371	1833,508
372	681,241
373	844,869
374	1296,42
375	1341,241
376	192,1796
377	499
378	367,553
379	580,317
380	155,936
382	6
383	128,79
384	1374,1459
385	710,215
386	407,521
387	617
388	516
390	908,68
391	500,917
392	1952
393	1089
394	178
398	408
399	274
400	772,53
402	27,208
403	1388,1415
404	1798,1395
405	1299,412
406	60,305
407	965,1850
408	1909
411	1892,199
412	746,310
413	24
414	952,2006
415	531,241
416	1635
417	237,132
418	51,232
419	708
420	1535
423	480
424	320,176
425	1086
426	1128
429	1247,1278
430	668,85
431	823
433	506,1046
436	1350,1353
437	786,1807
439	848
440	208,151
441	492
442	686
443	695,394
444	708
445	429,1339
446	977,506
448	574
449	16
450	386
451	1279
453	464
454	373
455	258
456	187
458	295
459	1316
460	224,1790
463	132
464	104
465	45,676
466	166
467	93
468	1147,1704
469	1429
471	1149,1084
472	650,232
473	93,16
474	392,1981
475	640,413
478	708
480	214,1393
482	116
483	877,132
484	1148,814
485	5,422
487	707,215
488	1,166
489	528,843
490	170
491	1765,306
492	345,363
493	993
494	160
495	1344,1364
496	20,27
497	568
498	989
499	492
500	1143,308
501	274,49
502	1421
503	830
504	613,175
506	358
507	643,1504
509	1015
511	911
512	124
513	188,1179
517	1669,260
519	1027,814
520	202
522	212
524	69,113
525	110,69
526	104,749
527	460,1896
528	1201,349
529	1097,1000
531	530,524
532	662
533	1612,1621
534	51
535	155
536	2042,414
537	973,188
538	936,1220
539	357
540	268,123
541	474,59
542	944,1266
543	626
544	51
546	704,116
549	1317
551	93
552	1576,21
553	839,492
555	813
556	902
557	499,98
559	826
561	139
563	1473
564	1535
566	1250
567	150
570	137
572	156,215
573	304
574	208,559
575	994
576	634,1181
578	132
579	685,1352
580	1165,138
581	53,419
583	415,1155
584	474
585	1383,568
586	304
587	1372,326
588	864,1613
589	360,329
590	1332,690
591	640,1191
593	509,1173
594	442,1482
596	232
597	145
598	1621,173
599	1652
600	147
601	1547
602	118
603	492
604	1808,216
605	781,720
606	86,306
608	6,85
609	1336,594
612	357
613	1625,1015
614	134
615	124,207
616	1190,1435
617	2033
620	302
621	965
622	1336,1781
623	122,1438
625	336,749
626	710,1152
627	506
628	1806,1312
629	708,571
630	556,651
631	1537
632	319,1870
633	124,6
634	182,358
635	1005,924
636	194
637	684
639	241,39
640	116,109
641	112,52
643	1936
644	362
645	621
646	1534
647	1424,1440
648	357
649	368,667
652	318,134
655	1049,1470
656	216
657	196
659	261
660	594,171
661	1252
663	1336,274
664	1078
665	1374,394
667	6
668	1991
671	681
672	1948
673	52,208
674	284,69
676	799,1763
677	1951,1979
678	209
679	846
680	730
681	196,1140
682	1350
683	1624,628
684	336
685	505
686	1235
689	1389
