uid	iids
0	22,1394,2868,3468,3493,4476,4931,5054,5703,8097,14338,16892,17378,19964,20364,20524,20531,20536,2876,18980,289,247,248,253,1325,1418,1428,1806,2238,2739,2817,3416,3567,3653,4144,4353,17405,19072,19901,20070,20226,2871,4298,18057,45,135,184,240,244,249,870,1148,2184,3656,5073,6770,9888,9888,19151,19259,556,1414,3009,3412,4341,4349,4363,4773,9366,13766,14788,15150,19027,55,543,4497,7115,16087,19644,4886,2957,2994,12018,2079,3536,4128,526,20037,14380,13593,587,18894,15759,192,3648,1398,2693,13646,5081,19615,20256,4305,20232,536,17893,18387,11782,4889,2397,12276,1790,1934,16326,3224,200,9822,9822,1492,4479
1	679,941,1478,1797,3819,3936,7140,14490,15290,19335,395,16917,14710,5772,20276,13814,19374,5263,11682,15913,1421,16493,8220,122,228,1181,1929,2641,5058,5683,6907,7279,7404,7768,8414,9201,10612,10612,13605,18980,20087,2727,3604,5585,6522,8348,14503,17959,19719,2613,997,1496,2295,2572,3682,1665,2217,2594,3716,9179,1795,3155,6469,15904,554,4031,17129,19739,886,1261,1951,14763,1284,15753,729,2938,16615,20412,20637,13037,18893,19686,19199,20474,18889,19673,20771,20417
2	250,4875,19194,19072,543,20032,3511,6538,19027,3259,94,4126,5189,16573,6461,1701,15581,1029,8231,6098,4368,6884,10605,10605,19997,8071,10185,10185,13232,18342,6614,4773,11915,15706,19672,3038,3504,8564,9386,11713,10613,10702,10613,10702,856,9508,8145,9784,12703,19436,135,20451,244,5293,9803,18313,184,19435,177,587,10305,10305,552,3838,19972,3177,5804,18241,2424,1803,2352,3555,10545,10545,11124,7536,9948,9948,13308,19714,16017,16318,1414,3536,4128,15589,16406,17926,19076,761,253,1456,13511,4775,5073,6250,17075,16619,20374,15466,18698,3619,9245,12239,13352,15438,17766,4107,6089,11212,17157,5880,2356,9339,14708,8393,19738,10514,10514,249,7709,16104,13736,14747,5666,465,16437,16963,466,15004,17400,16864,6910,19103,4825,13182,18951,17969,1259,14979,15552,4895,19812,2191,16136,254,3671,20214,3924,10425,10425,13112,20233,18920,19950,538,5222,8907,8412,9181,11403,15937,12495,11033,264,3477,4298,7993,2205,12477,5597,19650,20262,894,11889,20379,10167,10167,19132,12444,12389,19587,851,18057,18809,10509,10509,12681,15389,19430,19965,2752,4323,5509,5546,10625,10625,5702,13975,7401,13476,14205,14348,18554,11876,10482,468,6735,247,842,5081,19615,20256,19078,325,12018,19228,20226,20033,4053,8730,9777,5087,11782,7593
3	17910,16339,7601,2619,1325,16642,18941,18168,19719,20263,17335,14898,12674,3478,12645,20009,11882,12015,15890,13660,19778,5815,19033,6335,19592,20306,16224,4875,5456,20233,3501,6614,7479,3598,157,6308,704,3412,14979,19953,12377,19547,18313,9787,13205,13620,6803,18236,19814,3573,16963,18742,18649,17342,18595,18564,19890,20128,15730,1186,19812,11543,4669,18920,4026,11452,19178,19919,3477,6829,10514,10514,18105,1,15969,271,360,15383,4959,3335,20751,11309,1428,19431,20044,1400,2603,17075,141,2739,7051,17546,3599,13513,20708,10720,10720,5748,2152,13476,17511,20226,3558,20271,9803,17703,7983,2679,14731,7874,17061,13125,20466,2926,11502,18675,11218,5244,14179,20506,6651,12241,15817,17464,355,19265,9031,12414,18988,17060,18270,16655,11294,12673,14851,18475,10506,10506,14130,6730,17179,19035
4	9460,87,1019,1473,1577,2707,2839,2954,3555,3925,6651,6692,7264,7551,8627,9434,10616,10800,10616,10800,11040,11167,11556,12022,12649,12860,12879,13298,13527,14073,14312,14380,14696,14763,15033,15493,96,104,118,1192,1383,3652,4075,4915,5477,5602,5603,5885,6647,7012,7713,9789,10189,10392,10679,10189,10392,10679,13108,13291,13612,13638,14180,14230,15209,15334,15627,16073,2443,2972,3798,4157,5547,6279,7814,9022,12964,14063,14604,14851,15103,15991,17269,1184,4296,13493,17129,17236,41,329,1609,3480,3836,5940,6335,6871,9212,9860,9860,11659,12766,14326,14513,14521,14994,15510,16315,17119,17124,17311,2251,6984,7323,11937,12209,15074,15838,15854,1,26,42,134,217,464,797,948,1112,1176,1382,2244,2667,3129,3407,3493,3642,4057,4476,4648,5397,5703,9816,9816,11231,13890,15251,15957,16470,16991,3841,18593,18751,19041,1069,1804,3666,4722,9762,14123,14382,14739,17163,18436,18633,19121,19201,17210,18594,18895,19743,19890
5	14799,14948,3924,13811,6602,16160,3861,16209,14814,575,3081,16464,16547,9646,16346,11907,47,2177,16984,16549,6907,17095,3788,16055,3012,6107,1904,1,12050,15080,15832,16512,16557,16608,17000,17032,17102,17308,19690,293,4291,15839,17327,17559,16146,352,16366,17675,15955,16555,17110,17332,17619,15935,16795,17517,17716,15838,13100,17221,3802,16362,17523,12211,204,760,2959,17083,2715,17819,18226,16669,17068,18205,618,5235,17960,537,13926,14139,14863,4379,6196,8548,196,20086
6	1102,7832,4427,723,4372,534,3573,2514,985,5182,3336,4428,563,3428,767,93,2406,537,2996,895,1054,5787,764,2459,3021,16631,4858,5415,3929,2579,2673,3812,7341,6091,537,5897,5505,1797,3044,4886,962,4899,8047,4548,6196,1112,5884,4910,6294,288,9044,1764,242,526,4928,6353,4915,6328,6489,1830,1835,312,3468,4335,8055,2890,6448,6537,4863,5980,19663,20235,4928,4097,4900,5161,6382,3140,488,2099,1937,6539,4931,2966,5829,348,3922,11614,250,10928,4775,212,1609,4536,6716,4859,6961,1001,5138,1173,2308,4966,4992,1613,643,1063,4118,5222,16326,1360,6970,1583,3687,7178,33,435,5202,7104,3888,4356,165,765,2572,3459,1548,2938,4983,20020,5263,2102,745,6848,989,5006,7348,161,7214,1470,994,869,7463,2828,2007,1396,4083,5042,4463,1012,1152,275,6604,7569,8097,2443,8211,3091,5112,4995,7835,20224,2417,5657,9786,3458,633,2120,7409,7593,7525,205,7340,5015,8355,7710,3351,4017,8509,5025,3412,3581,6878,7512,3872,8992,9001,12343,8765,480,1221,4701,9569,200,9822,9822,4875,5105,8945,2580,9128,200,9822,9822,1250,5631,2312,1305,6362,6447,7535,3241,3787,5080,39,39,7904,7904,9303,1369,1657,3174,3459,5807,5054,936,7156,3611,9040,3501,6393,9394,1514,3212,7486,99,5338,4168,9789,4381,20205,7724,5020,6133,790,3746,6583,1364,8745,5355,5158,5107,5095,7636,5744,5063,9569,9079,4469,2494,5099,8934,5069,8102,2151,5939,4871,10161,10161,8658,20516,7080,7415,9000,9899,9899,10045,10045,5304,5087,4493,8374,4768,10286,10286,4949,2173,6373,2978,10246,10246,3238,5098,9111,170,1188,3394,10167,10167,2682,6904,6027,4831,5096,4619,10304,10411,10304,10411,5058,10256,10256,4849,554,1253,5073,5365,10422,10422,10320,10320,10437,10437,10058,10058,4241,10613,10613,11007,4491,9648,9003,10887,10887,9717,151,7140,11041,1003,3345,4567,3613,11213,9816,9816,10515,10515,11373,2814,10283,10283,11638,3301,10016,10738,10016,10738,390,10842,10842,5900,10513,10513,11248,11582,9726,10524,10524,11472,9832,9832,11394,5597,6165,19650,9294,88,6900,308,11283,996,4817,11730,4225,4810,11701,7108,10885,10885,11765,11849,3470,11661,11805,11494,11497,11499,933,5000,6641,11811,11488,1375,3241,11764,9651,2971,11485,12001,11099,11416,11431,12364,11487,12028,10388,10388,13077,4850,12917,10485,10485,12058,12914,12763,15269,7836,12943,13189,13079,11763,13136,12553,12253,12927,12476,10071,10071,4091,12394,10847,10847,9194,11740,3803,3859,14270,14140,11507,12599,1173,14073,7986,13767,14817,14007,14779,10498,10498,15639,14810,16051,15796,13919,3908,13705,15067,15350,5732,14940,14497,14814,8071,11621,11944,12270,14819,15895,15981,104,11780,16346,13785,10250,10250,14946,8387,14067,7112,16160,14807,15156,7049,4375,12533,16365,15495,9580,1427,16608,7354,3003,3085,3045,3483,12272,8122,1201,6366,11902,15935,16549,17000,16054,13772,17292,1,17619,16807,16851,17701,13928,17660,12921,14792,17296,17853,17970,181,14699,5151,562,5807,17605,17711,2860,9300,19011,10607,10607,17313,4062,7075,10789,10789,20053,20050,4263,3543,19643,20046,5093,8862,20227,3012,1317,5351,3389,18657,19456,11761,11074,2691,19666,19296,5406,1254
7	6944,14797,14790,14802,16960,3986,15251,1188,1336,1925,2676,16464,12973,15343,994,7617,16342,490,493,511,6744,15152,308,8473,7697,4893,1314,16612,15935,5314,8889,1,13773,15955,4349,17082,17817,17711,18314,17880,18918,89,2403,14459,15830,18916,1084,12865,19229,2709,1774,1652,3189,17740,2796,11968,4888,1497,15816,18901,4929,4782,9068,14949,19516,18882,19590,19643,2881,6017,8641,669,12176,9860,1063,3045,7528,16161,19921,3929,3648,147,3234,535,543,1548,1747,2087
8	1375,3235,1241,2406,4851,4903,557,2810,4915,2126,4277,5685,6188,1092,5887,2673,3453,6505,6382,252,6619,6366,11902,6661,6737,1426,1409,861,2814,6808,6598,2140,6830,5144,3256,6687,5138,5665,6891,3926,6838,5287,1136,6946,329,5901,4863,19663,20235,3119,2317,3012,1982,6035,4931,1279,7024,7026,2945,3521,12381,1353,6610,6866,6914,6791,7008,4563,6431,4867,6958,7050,6913,7076,4072,7067,11021,421,531,190,737,7101,2015,1730,7109,5141,79,554,285,5217,7050,7091,7126,7105,1349,7178,7339,7251,7250,4983,20020,7311,1601,8068,1270,7356,4981,5844,5846,2034,2004,2034,2034,4740,5327,3613,11213,7345,7373,5013,2364,1200,37,554,1396,7510,7633,940,797,2790,3301,7682,6985,5850,3435,5042,5033,2400,6786,6487,7107,4043,7747,7839,5023,5381,8012,440,7773,7963,2513,7940,8056,8063,4995,20224,2770,8259,8963,9349,9029,9023,9027,3114,5107,8133,8512,9325,9450,9580,9612,9675,9711,19507,9672,9789,9795,1050,3994,2006,2381,10105,10250,10263,10105,10250,10263,186,1449,5073,7419,8479,10490,10655,10687,10758,10490,10655,10687,10758,10513,10846,10876,10513,10846,10876,10925,11010,4914,11553,20608,450,6602,12065,12066,12398,12550,12553,12599,12769,11563,13036,13033,13159,19394,15306,14497,17296,16177,16856,16860,15841,17945,18277,18345,18385,18644,18521,15218,17006,18857,19637,20271,20341,20410,20460,20050
9	2795,15105,12567,2850,2005,6353,1329,3917,3917,9224,7447,12985,11764,4992,4173,4836,6502,253,7505,11022,1575,12018,12647,14827,15695,139,3838,4582,17922,5015,2652,4381,12001,3477,9078,9849,9849,1982,189,155,17032,625,1790,10735,10735,166,17340,184,13267,3252,19538,11609,4337,5055,13767,16346,14270,785,1592,2823,7387,5322,4995,20224,9301,11357,14076,14076,14076,4536,5042,2508,3192,15955,5084,3860,3864,13932,16031,19584,312,946,1005,7087,19630,8769,15741,16556,17660,248,247,2558,9217,9849,9849,10735,10735,7216,12764,2656,12135,4998,4476,13499,14814,2,2031,170,13455,13646,15753,9970,9970,13901,14819,15895,16407,17685,17819,16326,240,9014,15949,3769,4960,13597,198,1905,4291,13419,15024,16055,9009,5463,4427,6890,11436,7766,8245,9091,15435,121,416,4529,4603,6471,6486,8045,8114,9084,17619,12888,13590,15790,6041,3480,3430,4526,6820,4918,5165,8062,10875,10875,577,120,4926,5456,652,4437,5036,1267,3406,17158,543,6504,11757,17396,19499,18622,4397,13502,23,183,2146,3003,3050,3544,3868,5575,5612,6430,7337,9888,9888,12201,15957,12204,13390,14805,13103,11494,11497,34,186,236,4206,11353,11645,4624,4378,4935,18376,3566,11486,3908,13738,3870,4706,10110,10110,16215,912,5878,12382,12526,2543,18767,3429,4468,5222,1102,18205,14488,18657,19456,15713,18997,2752,4373,4715,9049,2957,5524,3052,5104,11780,5040,773,2401,2748,4073,15462,1303,5717,841,7794,11093,12168,18685,134,2767,3423,5941,6707,1609,8105,13564,3970,12147,317,5373,7115,10629,10629,13237,15112,212,2507,11876,3871,3937,5245,9446,15168,20164,11564,15153,17381,18279,18920,5518,18846,19174,19404,14643,17332,19436,18633,17864,18419,19229,3006,15130,18986,16038,14493,18991,19121,19157,19201,18723,8897,17110,8342,15225,19781,19414,5365,12845,3585,16792,2872,19806,1205,14490,5181,4888,511,1454,5774,17610,3942,7584,196,12846,18399,19917,11631,13581,19960,19586,20182,20192,1652,18882,15771,723
