uid	iids
0	3
1	54,53
2	91,90
3	115,11210
4	193,1754
5	209,208
6	320
7	346,345
8	5554
9	396
10	653
11	288
12	811,809
13	853
14	862,857
15	895
16	350,10969
17	933,5477
18	973,971
19	984
20	1020,1015
21	1093
22	1128,1127
23	413,512
24	1214,1213
25	1219
26	2079
27	1288,985
28	2273,2079
29	13
30	210,1216
31	1341,1338
32	1352,1351
33	1366,8063
34	1499,877
35	1526,103
36	1539,850
37	1621,1765
38	1641,1640
39	13
40	16685
41	408,4419
42	1293
43	1980,1864
44	987,20222
46	2000,1999
47	3910
48	2036
49	2062,209
50	1324,8319
51	1352,4658
52	2065,2471
53	3580,20239
54	4719,8012
58	2260
59	1150
60	2310
61	1352,1353
62	850,2332
63	2001,14705
64	93
65	6227,11948
67	987,2431
68	2464,298
69	2497,222
70	1966,983
72	2591,2590
73	2039,2047
74	2722
75	2748,2747
76	4719
77	2761,2760
78	4640
79	2864,2071
80	605
81	1927
82	2890
83	2900,2898
84	17
85	2941
86	2959,1859
87	1216,210
88	3075
89	2031
90	210,3189
91	3219,12379
92	3237,2077
93	4797
94	3274
95	3283,3282
96	1105,539
97	3321,3320
98	7314
99	2619,2065
100	12510,3581
101	3375,8102
102	1128,1127
103	471,3396
104	3415,4658
105	264
106	3566
107	3471
108	3526,3525
109	1952
111	1218,2882
112	3570
113	3581,4913
114	3624
115	1216,210
116	3656
117	3664,5906
118	3681
119	2241
120	3714,2068
121	1526,103
122	2362,2574
123	1214,1213
124	12021
125	471
126	9204
127	3741,1982
128	3750,483
129	1341,1338
130	2127,3133
131	2071,1351
132	3780,3779
133	1765,16685
135	3837,3836
136	10960
137	5072
138	408,1159
139	576,1304
140	2098
141	3896,3895
142	4091
143	2352,413
144	3921,3920
145	1218,4122
147	568,22156
148	11918,17620
149	3983
150	4046
151	1861
152	4177
153	4092,4091
154	2073,10261
155	4122,398
156	2924,4658
157	4186,3179
158	357
159	13
160	1351
161	208
164	4280,3900
165	472,4213
166	2505
167	1745,635
168	4418,120
169	412,4428
170	4439,4352
171	4297,418
172	4486,4485
173	1249,2792
174	2876,826
175	4633
176	1351,2798
177	4645,4644
178	24329
179	1333
180	4693
182	4713,4712
183	225,3143
184	7904,8352
185	13531
186	3495
187	12640,18153
188	5331,3664
189	4811,4210
190	3910
191	5228,6597
192	4890,2080
194	3644,1922
195	488,4921
196	2932,17620
197	4964
199	4979,13086
200	4980,4978
201	4658,1353
202	4301
203	5031,3521
204	4301,1999
205	5049,537
206	402
208	1924
209	210,209
210	5085,5084
211	5134,2285
212	24074
213	402,2038
214	1924,17770
215	5160
216	4785,4836
217	115,5177
218	103
219	4979,12773
220	5225,4836
221	5272,209
222	1352,2001
223	5288,359
224	1549
225	3666
227	5319
228	471,1303
229	3882
230	5335,12099
232	788,12225
233	5383,357
234	2618,122
235	819,5420
237	3989,978
239	446,1320
240	5467,1542
241	2000,1999
243	5481
244	5477
245	2908,877
246	14551
247	853
249	5582
250	1224
251	8670
252	5626,5625
254	985,8760
255	265,18911
256	10720,1145
258	512
259	5739
260	3282,4169
261	357,2933
262	1534
263	5467,1542
264	4135,5877
265	3835,5906
266	918
267	3275
268	1101,15207
269	193,66
270	5989,25685
271	114,1302
272	3860,6030
273	357
274	16914
275	6042
276	6054,193
277	1924
278	5819,6064
279	6083
280	8224,7134
281	2468,537
282	3800
283	2209,5230
284	5230
285	6186,6185
286	4559,654
287	193,122
288	6213,6212
289	5838,10261
290	6640,4213
292	12963,11051
293	2834,6287
294	2469,2468
295	6352,5864
296	1980,432
297	7947,12917
298	4038,2966
299	6446,1621
300	2298,3460
302	6280
304	6515,273
305	3379,4473
306	2129,4038
307	2225
308	1244,4178
309	3460,7468
310	6550,6549
311	2293,408
312	359,1334
313	6185
314	2412
315	11259
316	14220,4658
318	2452
319	4128,5477
320	402,1924
321	2211,6638
322	1165,11634
323	6250
324	6691,348
325	1980,1983
327	5385,6717
328	2691,225
329	3356
330	2043,1106
331	1770,1621
332	6763
333	2564
334	8585
335	23871,14287
336	6674,1225
337	1708,6880
338	123
339	8532,3390
340	5303
341	7233,14220
343	6930
344	502,4327
345	210,2792
346	6051,5546
347	14647,2298
348	2922
349	6031,7044
350	359,13924
351	6784,6783
352	2805,2804
353	8573,2102
355	4918,4327
356	66
357	116,5084
358	1352,1353
359	993
361	5499,7118
362	1127,487
363	7351
364	1103,10
365	7169,1631
366	466,674
367	828,1689
368	1361,3063
369	2912,7937
370	5809,8380
371	6352
372	6881,7904
373	1685,1663
374	4710
375	7272,1304
376	6250,1897
377	3205,1983
378	5244
379	10831
380	10923,6781
381	1353,3750
382	3988,10783
383	14015,14906
384	537
385	1912
386	5832
388	6476,5830
389	2324,10637
390	8004
391	22445,8224
392	1330
393	7401
394	1982,7578
395	7602
